char,readings
高校,こうこう
学校,がっこう
夏,なつ
夏休み,なつやすみ
家,いえ;うち
作家,さっか
弱い,よわい
弱点,じゃくてん
時,とき
一時,いちじ
二時半,にじはん
何時,なんじ
同時,どうじ
紙,かみ
手紙,てがみ
日記,にっき
通る,とおる
交通,こうつう
高い,たかい
強い,つよい
強力,きょうりょく
教える,おしえる
教室,きょうしつ
心理学,しんりがく
地理,ちり
組,くみ
船,ふね
風船,ふうせん
先週,せんしゅう
今週,こんしゅう
週末,しゅうまつ
雪,ゆき
魚,さかな
金魚,きんぎょ
海魚,かいぎょ;うみざかな
鳥,とり
白鳥,はくちょう
黄色,きいろ
黒い,くろい
黒人,こくじん
馬,うま
馬力,ばりき
支える,ささえる
支店,してん
住む,すむ
住人,じゅうにん
住民,じゅうみん
助ける,たすける
助力,じょりょく
助手,じょしゅ
助言,じょげん
医大,いだい
医学,いがく
医者,いしゃ
君主国,くんしゅこく
君,きみ
君,くん
対する,たいする
対外,たいがい
対立,たいりつ
反対,はんたい
局,きょく
支局,しきょく
役,やく
役人,やくにん
役に立つ,やくにたつ
大役,たいやく
決,けつ
決める,きめる
決心,けっしん
未決,みけつ
自決,じけつ
究明,きゅうめい
研究,けんきゅう
研究室,けんきゅうしつ
投げる,なげる
心身,しんしん
身体,しんたい;からだ
全身,ぜんしん
森,もり
両者,りょうしゃ
作者,さくしゃ
学者,がくしゃ
工学者,こうがくしゃ
場所,ばしょ
入場,にゅうじょう
工場,こうじょう;こうば
所,ところ
入所,にゅうしょ
出所,しゅっしょ;でどころ
他所,たしょ;よそ
名所,めいしょ
住所,じゅうしょ
朝,あさ
朝ごはん,あさごはん
朝日,あさひ
番号,ばんごう
一番,いちばん
二番,にばん
交番,こうばん
答え,こたえ
答える,こたえる
絵,え
買う,かう
道,みち
歩道,ほどう
道,どう
間,あいだ;ま
時間,じかん
間,かん
人間,にんげん
間もなく,まもなく
空間,くうかん
雲,くも
数える,かぞえる
数,かず
数字,すうじ
数学,すうがく
人数,にんずう
点数,てんすう
楽しい,たのしい
音楽,おんがく
楽,らく
話す,はなす
電話,でんわ
会話,かいわ
電車,でんしゃ
電気,でんき
電池,でんち
電子,でんし
電力,でんりょく
事,こと
用事,ようじ
工事,こうじ
大事,だいじ
返事,へんじ
食事,しょくじ
使う,つかう
道具,どうぐ
家具,かぐ
受ける,うける
和風,わふう
平和,へいわ
和食,わしょく
和室,わしつ
和服,わふく
始める,はじめる
始まる,はじまる
始めに,はじめに
予定,よてい
決定,けってい
実,じつ
事実,じじつ
